time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,33.0,38.0,23.0,47.0,31.0,nan,-0.6,-7.9,-0.95,4.64,-96.52,269.0,-0.85,-0.09,0.0,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,7153.1143,1.0,1.0,0.0
19.0,39.0,46.0,31.0,65.0,36.0,nan,-0.6,-7.88,-0.99,4.64,-96.55,269.0,-1.13,-0.16,0.07,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
42.0,33.0,35.0,27.0,57.0,37.0,nan,-0.61,-7.86,-1.01,4.64,-96.58,269.0,-0.99,-0.16,0.0,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
62.0,29.0,35.0,29.0,36.0,27.0,nan,-0.61,-7.87,-0.98,4.64,-96.6,269.01,-0.71,-0.23,0.0,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
84.0,36.0,34.0,26.0,62.0,36.0,nan,-0.61,-7.88,-0.97,4.63,-96.62,269.01,-0.92,-0.16,-0.14,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
104.0,34.0,27.0,25.0,58.0,38.0,nan,-0.61,-7.85,-0.98,4.63,-96.65,269.02,-1.13,-0.23,-0.14,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
127.0,39.0,36.0,37.0,69.0,52.0,nan,-0.6,-7.91,-0.98,4.62,-96.67,269.02,-1.27,-0.16,-0.07,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
146.0,28.0,31.0,33.0,64.0,50.0,nan,-0.6,-7.86,-0.98,4.62,-96.71,269.02,-1.48,-0.16,0.0,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
169.0,33.0,41.0,30.0,66.0,48.0,nan,-0.6,-7.87,-1.04,4.62,-96.77,269.02,-0.92,-0.09,0.07,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
195.0,33.0,41.0,21.0,53.0,47.0,nan,-0.59,-7.85,-1.05,4.62,-96.79,269.03,-0.29,-0.16,0.07,-0.45,0.55,0.5,-0.49,1.0,3.78,95.51,0.0931214,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
218.0,24.0,40.0,34.0,53.0,28.0,nan,-0.6,-7.86,-1.04,4.62,-96.79,269.03,0.27,-0.3,0.07,-0.45,0.55,0.5,-0.49,1.0,3.76,95.53,0.0931253,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
239.0,38.0,46.0,32.0,50.0,37.0,nan,-0.6,-7.85,-1.06,4.62,-96.78,269.04,0.76,-0.3,0.21,-0.45,0.55,0.5,-0.49,1.0,3.76,95.53,0.0931253,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
262.0,44.0,29.0,32.0,60.0,39.0,nan,-0.59,-7.87,-1.01,4.62,-96.77,269.04,1.04,-0.23,0.21,-0.45,0.55,0.5,-0.49,1.0,3.76,95.53,0.0931253,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
282.0,37.0,43.0,34.0,51.0,35.0,nan,-0.6,-7.83,-1.01,4.62,-96.74,269.05,1.39,-0.3,0.21,-0.45,0.55,0.5,-0.49,1.0,3.76,95.53,0.0931253,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
304.0,29.0,41.0,33.0,50.0,34.0,nan,-0.61,-7.85,-1.02,4.62,-96.72,269.05,1.67,-0.3,0.21,-0.45,0.55,0.5,-0.49,1.0,3.76,95.53,0.0931253,0.0,42.502028262195125,nan,-71.88523788617887,nan,-2.0,0.0,4230.1245,0.0,0.0,0.0,0.0
