millis,latitude,coord1,longitude,coord2,capacitive
5541441.0,4337.53,nan,-7247.361333333333,nan,60.0
5541467.0,4337.53,nan,-7247.361333333333,nan,57.0
5541495.0,4337.53,nan,-7247.361333333333,nan,60.0
5541520.0,4337.53,nan,-7247.361333333333,nan,60.0
5541547.0,4337.53,nan,-7247.361333333333,nan,60.0
5541572.0,4337.53,nan,-7247.361333333333,nan,60.0
5541599.0,4337.53,nan,-7247.361333333333,nan,60.0
5541624.0,4337.53,nan,-7247.361333333333,nan,60.0
5541651.0,4337.53,nan,-7247.361333333333,nan,56.0
5541676.0,4337.53,nan,-7247.361333333333,nan,56.0
5541703.0,4337.53,nan,-7247.361333333333,nan,60.0
5541728.0,4337.53,nan,-7247.361333333333,nan,60.0
5541754.0,4337.53,nan,-7247.361333333333,nan,60.0
5541781.0,4337.53,nan,-7247.361333333333,nan,60.0
5541807.0,4337.53,nan,-7247.361333333333,nan,58.0
5541831.0,4337.53,nan,-7247.361333333333,nan,56.0
5541859.0,4337.53,nan,-7247.361333333333,nan,56.0
5541884.0,4337.53,nan,-7247.361333333333,nan,60.0
5541911.0,4337.53,nan,-7247.361333333333,nan,60.0
5541937.0,4337.53,nan,-7247.361333333333,nan,60.0
5541962.0,4337.53,nan,-7247.361333333333,nan,60.0
5541989.0,4337.53,nan,-7247.361333333333,nan,55.0
5542015.0,4337.53,nan,-7247.361333333333,nan,60.0
5542041.0,4337.53,nan,-7247.361333333333,nan,60.0
5542066.0,4337.53,nan,-7247.361333333333,nan,60.0
5542093.0,4337.53,nan,-7247.361333333333,nan,60.0
5542118.0,4337.53,nan,-7247.361333333333,nan,60.0
5542145.0,4337.53,nan,-7247.361333333333,nan,60.0
5542171.0,4337.53,nan,-7247.361333333333,nan,60.0
5542194.0,4337.53,nan,-7247.361333333333,nan,60.0
5542223.0,4337.53,nan,-7247.361333333333,nan,60.0
5542248.0,4337.53,nan,-7247.361333333333,nan,60.0
5542275.0,4337.53,nan,-7247.361333333333,nan,60.0
5542300.0,4337.53,nan,-7247.361333333333,nan,60.0
5542327.0,4337.53,nan,-7247.361333333333,nan,60.0
5542353.0,4337.53,nan,-7247.361333333333,nan,60.0
5542378.0,4337.53,nan,-7247.361333333333,nan,60.0
5542404.0,4337.53,nan,-7247.361333333333,nan,60.0
5542431.0,4337.53,nan,-7247.361333333333,nan,60.0
5542457.0,4337.53,nan,-7247.361333333333,nan,60.0
5542482.0,4337.53,nan,-7247.361333333333,nan,60.0
5542509.0,4337.53,nan,-7247.361333333333,nan,60.0
5542534.0,4337.53,nan,-7247.361333333333,nan,60.0
5542561.0,4337.53,nan,-7247.361333333333,nan,60.0
5542587.0,4337.53,nan,-7247.361333333333,nan,60.0
5542613.0,4337.53,nan,-7247.361333333333,nan,60.0
5542639.0,4337.53,nan,-7247.361333333333,nan,60.0
5542665.0,4337.53,nan,-7247.361333333333,nan,60.0
5542691.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542717.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542743.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542769.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542794.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542821.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542847.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542873.0,4337.530833333333,nan,-7247.359666666666,nan,56.0
5542898.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542925.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542951.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5542976.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543003.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543028.0,4337.530833333333,nan,-7247.359666666666,nan,56.0
5543055.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543081.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543106.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543132.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543158.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543185.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543211.0,4337.530833333333,nan,-7247.359666666666,nan,59.0
5543236.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543263.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543289.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543313.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543341.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543366.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543392.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543419.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543445.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543470.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543497.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543522.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543549.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543574.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543601.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543626.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
